"order_id","customer_id","product","category","order_date","quantity","price"
1,210,"Laptop","Fashion","2025-09-17",2,"38550.90"
2,88,"Laptop","Electronics","2026-01-13",5,"31609.76"
3,124,"Shoes","Electronics","2025-10-12",3,"12421.88"
4,179,"Bag","Fashion","2026-01-06",5,"5508.14"
5,168,"Watch","Electronics","2025-05-27",6,"2686.28"
6,136,"Bag","Electronics","2025-07-01",4,"14887.24"
7,158,"Laptop","Fashion","2025-09-24",3,"34324.64"
8,278,"Laptop","Electronics","2025-10-28",5,"43840.45"
9,12,"Laptop","Fashion","2025-06-21",2,"2839.07"
10,239,"Watch","Fashion","2025-04-10",2,"38797.84"
11,254,"Laptop","Electronics","2025-08-16",4,"20059.10"
12,100,"Watch","Electronics","2025-05-11",4,"38841.19"
13,127,"Phone","Electronics","2025-04-19",2,"37792.11"
14,46,"Watch","Fashion","2025-12-26",5,"36044.92"
15,294,"Phone","Fashion","2025-06-07",3,"5929.47"
16,74,"Laptop","Electronics","2025-07-02",4,"45789.05"
17,52,"Bag","Fashion","2026-01-24",2,"3083.81"
18,50,"Laptop","Fashion","2026-02-19",4,"30790.88"
19,65,"Shoes","Fashion","2025-07-19",2,"26601.70"
20,200,"Shoes","Fashion","2025-03-19",4,"42805.16"
21,199,"Bag","Electronics","2025-07-17",6,"47356.83"
22,286,"Bag","Electronics","2025-12-18",2,"41759.51"
23,235,"Bag","Fashion","2025-12-05",2,"8740.12"
24,94,"Bag","Electronics","2026-02-04",3,"27915.33"
25,289,"Bag","Electronics","2025-04-07",1,"2361.82"
26,222,"Phone","Fashion","2025-07-22",1,"40296.33"
27,92,"Phone","Electronics","2025-05-22",5,"24020.44"
28,110,"Shoes","Electronics","2025-11-22",6,"32277.27"
29,118,"Watch","Electronics","2025-08-28",3,"20968.67"
30,187,"Phone","Electronics","2025-11-27",6,"6402.63"
31,34,"Phone","Fashion","2025-10-24",5,"13985.70"
32,77,"Watch","Electronics","2026-02-14",1,"40859.26"
33,184,"Phone","Electronics","2025-06-13",3,"46001.37"
34,101,"Bag","Fashion","2025-03-19",3,"39063.43"
35,143,"Shoes","Fashion","2025-04-09",5,"28195.90"
36,210,"Laptop","Fashion","2025-05-04",2,"24881.62"
37,165,"Laptop","Electronics","2025-12-09",3,"9979.65"
38,131,"Bag","Electronics","2025-10-17",5,"15387.29"
